Europe/Netherlands/Oisterwijk/	Europe/Netherlands/North Brabant/Oisterwijk
Europe/Netherlands/Oss/	Europe/Netherlands/North Brabant/Oss
Europe/Netherlands/Rotterdam/	Europe/Netherlands/South Holland/Rotterdam NL
Europe/Netherlands/Tilburg/	Europe/Netherlands/North Brabant/Tilburg
Europe/Netherlands/Noord Holland/*	Europe/Netherlands/North Holland/*
Europe/Netherlands/Eindhoven/	Europe/Netherlands/North Brabant/Eindhoven
Europe/Netherlands/Haarlem/	Europe/Netherlands/North Holland/Haarlem
Europe/Netherlands/Hardinxveld Giessendam/	Europe/Netherlands/South Holland/Hardinxveld Giessendam
Europe/Netherlands/Helmond/	Europe/Netherlands/North Brabant/Helmond
Europe/Netherlands/Houten/	Europe/Netherlands/Utrecht/Houten
Europe/Netherlands/Loon op Zand/	Europe/Netherlands/North Brabant/Loon op Zand
Europe/Netherlands/Naarden/	Europe/Netherlands/North Holland/Naarden
Europe/Netherlands/Nieuwendijk/	Europe/Netherlands/North Brabant/Nieuwendijk
Europe/Netherlands/Nootdorp/	Europe/Netherlands/South Holland/Nootdorp
Europe/Netherlands/Delft/	Europe/Netherlands/South Holland/Delft NL
Europe/Netherlands/Zeewolde/	Europe/Netherlands/Flevoland/Zeewolde
Europe/Netherlands/Andel/	Europe/Netherlands/North Brabant/Andel
Europe/Netherlands/Berlicum/	Europe/Netherlands/North Brabant/Berlicum
Europe/Netherlands/Blaricum/	Europe/Netherlands/North Holland/Blaricum
Europe/Netherlands/Coevorden/	Europe/Netherlands/Drenthe/Coevorden
Europe/Netherlands/Dalen/	Europe/Netherlands/Drenthe/Dalen
Europe/Netherlands/Drente/*	Europe/Netherlands/Drenthe/*
Europe/Netherlands/Noord Brabant/*	Europe/Netherlands/North Brabant/*
Europe/Netherlands/Zuid Holland/*	Europe/Netherlands/South Holland/*
Europe/Netherlands/Noordholland/*	Europe/Netherlands/North Holland/*
Europe/Netherlands/Noordbrabant/*	Europe/Netherlands/North Brabant/*
Europe/Netherlands/Zuidholland/*	Europe/Netherlands/South Holland/*
Europe/Netherlands/Noord-Holland/*	Europe/Netherlands/North Holland/*
Europe/Netherlands/Noord-Brabant/*	Europe/Netherlands/North Brabant/*
Europe/Netherlands/Zuid-Holland/*	Europe/Netherlands/South Holland/*
Europe/Netherlands/Limburg/Weert	Europe/Netherlands/Limburg NL/Weert NL
Europe/Netherlands/Limburg/*	Europe/Netherlands/Limburg NL/*
Europe/Netherlands/Zealand/*	Europe/Netherlands/Zeeland/*
Europe/Netherlands/Unknown/	Europe/Netherlands/Netherlands/
Europe/Netherlands/North Brabant/Loon op zand	Europe/Netherlands/North Brabant/Loon op Zand
Europe/Netherlands/North Brabant/Breda	Europe/Netherlands/North Brabant/Breda NL
Europe/Netherlands/North Brabant/Blaricum	Europe/Netherlands/North Holland/Blaricum
Europe/Netherlands/North Brabant/Deurne	Europe/Netherlands/North Brabant/Deurne NL
Europe/Netherlands/South Holland/Hardinxveld-Giessendam	Europe/Netherlands/South Holland/Hardinxveld Giessendam
Europe/Netherlands/South Holland/Delft	Europe/Netherlands/South Holland/Delft NL
Europe/Netherlands/South Holland/Rotterdam	Europe/Netherlands/South Holland/Rotterdam NL
Europe/Netherlands/Zeeland/Middelburg	Europe/Netherlands/Zeeland/Middelburg NL
Europe/Netherlands/Groningen/Haren	Europe/Netherlands/Groningen/Haren NL
