location	country_code	latitude	longitude
NY	US	40.7642499	-73.9545249
CA	US	36.7014631	-118.7559973
TX	US	31.8160381	-99.5120985
AZ	US	34.395342	-111.7632754
SD	US	44.6471761	-100.3487609
ND	US	47.6201461	-100.5407369
CO	US	38.7251776	-105.6077166
MD	US	39.5162234	-76.9382068
MN	US	45.9896587	-94.6113287
WI	US	44.4308975	-89.6884636
NJ	US	40.0757384	-74.4041621
CT	US	41.6500201	-72.7342162
AR	US	35.2048883	-92.4479107
MO	US	38.7604815	-92.5617874
IL	US	40.0796319	-89.4339808
PA	US	40.9699889	-77.727883
KY	US	37.5726028	-85.155141
MT	US	47.3752671	-109.6387578
IA	US	41.9216734	-93.3122704
AL	US	33.2588817	-86.8295336
VA	US	37.1232245	-78.492772
OK	US	34.9550817	-97.2684062
LA	US	30.8703881	-92.0071259
FL	US	27.7567667	-81.4639834
GA	US	32.3293809	-83.1137365
NV	US	39.5158825	-116.8537226
UT	US	39.4225192	-111.7143583
NM	US	34.5708167	-105.9930069
MS	US	32.9715645	-89.7348496
IN	US	40.3270127	-86.1746932
OH	US	40.2253569	-82.6881394
MI	US	43.6211955	-84.6824345
Chihuahua	US	31.7	-106.5
DC	US	38.9	-77.0
NE	US	43.6211955	-84.6824345
Sopnora	US	29.4	-111.7
Tamaulipas	US	24.9	-98.6
BajaCalifornia	US	30.3	-115.0
