location	country_code	latitude	longitude
SRB	RS	44.1534121	20.55144
EGY	EG	26.2540493	29.2675469
LAO	LA	19.85627	102.495496
USA	XX	42.139041	-98.394997
JPN	XX	35.845119	136.736386
SWE	SE	59.6749712	14.5208584
DEU	DE	51.0834196	10.4234469
CHN	CN	35.000074	104.999927
ITA	IT	42.6384261	12.674297
GBR	GB	52.7954791	-0.540240236617
CAN	CA	61.0666922	-107.991707
BRA	BR	-10.3333332	-53.1999999
NLD	NL	52.2379891	5.53460738162
Kinna	SE	59.633056	12.516667
Terwispel	NL	53.019735	6.047796
Limmen	NL	52.567278	4.692641
NewYork	US	40.7642499	-73.9545249
Berminham	GB	52.48142	-1.89983
Brunswick	CA	45.94541	-66.66558
Scheemda	NL	53.17587	6.978039
Haren	NL	53.176674	6.630369
Hengevelde	NL	52.200118	6.63559
Maasland	NL	51.934553	4.272569
Volendam	NL	52.497109	5.074467
Livorno	IT	43.55	10.316667
DeMeern	NL	52.084258	5.011411
Norrkoping	SE	58.36	16.12
Goteborg	SE	57.42	11.58
Leeuwarden	NL	12.216667	-68.266667
HongKong	HK	22.3964	114.1095
Alvesta	SE	59.6	15.683333
Hilversum	NL	52.231896	5.179877
Sad	SRB	45.251667	19.836944
Shannxi	CH	35.36	108.24
Qalyubia	EG	30.41	31.21
Shrewsbury	GB	52.716667	-2.733333
Wijchen	NL	51.816174	5.749562
Sorachi	KP	38.1602778	125.6338889
Philadelphia	US	40.7194444	-76.1161111
Oudomxay	LA	20.7	101.816667
Alvsjo	SE	59.3251172	18.0710935
Uddevalla	SE	58.366667	11.933333
Angered	SE	57.783333	12.1
DenBosch	NL	51.585691	6.020056
Boxtel	NL	51.590116	5.328162
Ishigaki	JP	24.344782	124.157167
BritishColumbia	CA	49.24966	-123.11934
NewHampshire	US	40.4660348	-80.0271502
Stirling	GB	56.116667	-3.95
Peebles	GB	55.633333	-3.183333
Utrecht	NL	52.093813	5.119095
Delft	NL	52.018601	4.378153
Essex	GB	51.833333	.583333
Itatiba	BR	-27.366667	-52.45
Sharqiyah	EG	28.0555556	30.7138889
Vancouver_Coastal	CA	49.2608103	-123.1152341
Fraser	CA	49.191264	-122.849812
Northern	CA	54.516503	-128.600433
Vancouver_Island	CA	48.428384	-123.365137
Duncan	CA	48.778573	-123.707908
Richmond	CA	49.166502	-123.133664
Langley	CA	49.104120	-122.659859
Whistler	CA	50.116176	-122.953376
North_Vancouver	CA	49.316574	-123.072529
Terrace	CA	54.515865	-128.599011
manitoba	CA	49.8844	-97.14704
vancouver	CA	49.24966	-123.11934
victoria	CA	48.428384	-123.365137
surrey	CA	49.104086	-122.794217
boston	USA	42.359847	-71.058906
Massachusetts	USA	42.359847	-71.058906
Interior	CA	49.501768	-119.587889
gabon	GA	-0.8999694	11.6899699
canada	CA	61.0666922	-107.991707
iran	IR	32.0	53.0
india	IN	22.3511148	78.6677428
china	CN	35.000074	104.999927
united_kingdom	GB	51.50853	-0.12574
japan	JP	35.68536	139.75309
south_korea	KR	35.3985008	127.937111
mongolia	MN	46.8250388	103.8499736
croatia	HR	45.16667	15.5
germany	DE	51.0834196	10.4234469
russia	RU	64.6863136	97.7453061
british_columbia	CA	49.24966	-123.11934
britishcolumbia	CA	49.24966	-123.11934
iowa	USA	41.9216734	-93.3122704
ontario	CA	50.0000002	-86.0
democratic_republic_of_congo	CD	-2.9814343	23.8222636
korea	KR	35.3985008	127.937111
arkansas	US	35.201050	-91.831833
